,MAT,Salinity,pH,NH4,NO3,NO2,TN,TP,SO4,TOC (g/kg),Moisture (%)
YC13_FDME220007417,15.3,3.6,8.22,0.006657084,0.0459585,7.46E-05,1.2219228,0.005538313,1.63403875,14.34,32.98
YC15_FDME220007419,15.3,3.8,8.22,0.002996532,0.0423666,0.000051447,1.5906912,0.002778125,1.48121875,13.81,32.22
YC3_FDME220007407,15.3,2.8,8.13,0.003577572,0.0459585,0.000051447,1.1129685,0.0033915,1.22085875,Na,26.68
YC5_FDME220007409,15.3,3.3,7.96,0.005553108,0.0315909,4.37E-05,1.4649747,0.00461825,1.50951875,16.52,33.74
YC7_FDME220007411,15.3,3.2,7.98,0.006192252,0.0603261,0.000066894,1.3392582,0.022099438,1.59441875,Na,28.19
YC9_FDME220007413,15.3,3.8,8.01,0.007121916,0.0423666,5.92E-05,1.3895448,0.018725875,1.75855875,19.59,33.53
ZH1_FDSW220008784,22.23,2.9,7.59,0.00601794,0.0531423,0.000097788,1.490118,0.005231625,1.59441875,11.52,50.05
ZH11_FDSW220008794,22.23,3,7.71,0.006540876,0.0675099,9.01E-05,1.909173,0.004004875,2.21701875,Na,59.87
ZH13_FDSW220008796,22.23,3,7.69,0.007528644,0.0423666,0.000097788,1.741551,0.004924938,2.19437875,11.32,52.78
ZH15_FDSW220008798,22.23,3.1,7.8,0.005088276,0.0603261,0.000113235,1.406307,0.003698188,2.03023875,15.23,50.1
ZH3_FDSW220008786,22.23,4,7.96,0.006773292,0.0603261,0.000113235,1.8840297,0.009218563,2.14343875,Na,58.59
ZH5_FDSW220008788,22.23,2.9,7.54,0.006424668,0.0423666,0.000082341,2.0684139,0.005845,1.69063875,13.21,50.78
ZH7_FDSW220008790,22.23,3.7,7.8,0.007238124,0.0423666,0.000097788,1.9678407,0.003698188,2.08683875,Na,53.41
ZH9_FDSW220008792,22.23,3.6,7.85,0.007528644,0.0387747,9.01E-05,1.8672675,0.005538313,2.30757875,18.79,55.45
